"subject","trial","condition","sp","value","stim","acc","value_prioritem1","value_prioritem","exp"
"531",6,"distracted - familiar",17,7,"race",1,"4",4,1
"531",6,"distracted - familiar",18,6,"chalk",0,"7",7,1
"531",6,"distracted - familiar",19,7,"clam",1,"6",6,1
"531",6,"distracted - familiar",20,5,"cannon",0,"7",7,1
"531",10,"distracted - familiar",1,2,"loop",0,NA,NA,1
"531",10,"distracted - familiar",2,3,"breath",0,"2",2,1
"531",10,"distracted - familiar",3,1,"patch",0,"3",3,1
"531",10,"distracted - familiar",4,4,"crowd",0,"1",1,1
"531",10,"distracted - familiar",5,6,"skate",0,"4",4,1
"531",10,"distracted - familiar",6,7,"flare",0,"6",6,1
"531",10,"distracted - familiar",7,9,"racquet",0,"7",7,1
"531",10,"distracted - familiar",8,2,"lung",0,"9",9,1
"531",10,"distracted - familiar",9,8,"rail",0,"2",2,1
"531",10,"distracted - familiar",10,1,"sound",1,"8",8,1
"531",10,"distracted - familiar",11,5,"spray",0,"1",1,1
"531",10,"distracted - familiar",12,5,"store",1,"5",5,1
"531",10,"distracted - familiar",13,3,"purse",1,"5",5,1
"531",10,"distracted - familiar",14,4,"shape",0,"3",3,1
"531",10,"distracted - familiar",15,10,"pigeon",1,"4",4,1
"531",10,"distracted - familiar",16,6,"dough",0,"10",10,1
"531",10,"distracted - familiar",17,10,"match",1,"6",6,1
"531",10,"distracted - familiar",18,8,"front",1,"10",10,1
"531",10,"distracted - familiar",19,7,"thread",1,"8",8,1
"531",10,"distracted - familiar",20,9,"broom",0,"7",7,1
"531",14,"distracted - familiar",1,4,"hole",1,NA,NA,1
"531",14,"distracted - familiar",2,5,"bunch",1,"4",4,1
"531",14,"distracted - familiar",3,9,"chart",0,"5",5,1
"531",14,"distracted - familiar",4,1,"tomb",0,"9",9,1
"531",14,"distracted - familiar",5,2,"shell",1,"1",1,1
"531",14,"distracted - familiar",6,3,"oatmeal",0,"2",2,1
"531",14,"distracted - familiar",7,7,"cave",1,"3",3,1
"531",14,"distracted - familiar",8,6,"parcel",1,"7",7,1
"531",14,"distracted - familiar",9,10,"curve",1,"6",6,1
"531",14,"distracted - familiar",10,10,"banker",1,"10",10,1
"531",14,"distracted - familiar",11,9,"judge",1,"10",10,1
"531",14,"distracted - familiar",12,8,"blade",0,"9",9,1
"531",14,"distracted - familiar",13,2,"flash",0,"8",8,1
"531",14,"distracted - familiar",14,1,"arch",0,"2",2,1
"531",14,"distracted - familiar",15,7,"magnet",1,"1",1,1
"531",14,"distracted - familiar",16,6,"sink",1,"7",7,1
"531",14,"distracted - familiar",17,5,"smoke",1,"6",6,1
"531",14,"distracted - familiar",18,4,"decoy",0,"5",5,1
"531",14,"distracted - familiar",19,8,"vein",0,"4",4,1
"531",14,"distracted - familiar",20,3,"ditch",0,"8",8,1
"531",18,"distracted - familiar",1,8,"dome",1,NA,NA,1
"531",18,"distracted - familiar",2,8,"zipper",1,"8",8,1
"531",18,"distracted - familiar",3,6,"tunnel",0,"8",8,1
"531",18,"distracted - familiar",4,9,"brush",0,"6",6,1
"531",18,"distracted - familiar",5,3,"wind",0,"9",9,1
"531",18,"distracted - familiar",6,2,"vase",0,"3",3,1
"531",18,"distracted - familiar",7,1,"steam",0,"2",2,1
"531",18,"distracted - familiar",8,5,"spoon",0,"1",1,1
"531",18,"distracted - familiar",9,2,"dust",0,"5",5,1
"531",18,"distracted - familiar",10,4,"horn",0,"2",2,1
"531",18,"distracted - familiar",11,6,"nerve",0,"4",4,1
"531",18,"distracted - familiar",12,5,"freight",0,"6",6,1
"531",18,"distracted - familiar",13,10,"voter",1,"5",5,1
"531",18,"distracted - familiar",14,9,"axle",0,"10",10,1
"531",18,"distracted - familiar",15,3,"guard",0,"9",9,1
"531",18,"distracted - familiar",16,1,"note",0,"3",3,1
"531",18,"distracted - familiar",17,7,"lotion",1,"1",1,1
"531",18,"distracted - familiar",18,7,"sweat",1,"7",7,1
"531",18,"distracted - familiar",19,10,"kernel",1,"7",7,1
"531",18,"distracted - familiar",20,4,"speck",0,"10",10,1
"531",22,"distracted - familiar",1,2,"spot",0,NA,NA,1
"531",22,"distracted - familiar",2,2,"paper",1,"2",2,1
"531",22,"distracted - familiar",3,5,"capsule",0,"2",2,1
"531",22,"distracted - familiar",4,6,"line",1,"5",5,1
